SliceLocation,AcquisitionNumber,SeriesNumber,ImagePositionPatient,ImageType,InstanceNumber,SOPInstanceUID
-152.5,1,4,"[-161.000000, -170.000000, -152.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",30,1.3.6.1.4.1.14519.5.2.1.1706.8374.305795768545025488249892719703
-155.0,1,4,"[-161.000000, -170.000000, -155.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",31,1.3.6.1.4.1.14519.5.2.1.1706.8374.348718815901770003357407074642
-140.0,1,4,"[-161.000000, -170.000000, -140.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",25,1.3.6.1.4.1.14519.5.2.1.1706.8374.288949744911582644744607544423
-125.0,1,4,"[-161.000000, -170.000000, -125.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",19,1.3.6.1.4.1.14519.5.2.1.1706.8374.255168274913182498809013590739
-112.5,1,4,"[-161.000000, -170.000000, -112.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",14,1.3.6.1.4.1.14519.5.2.1.1706.8374.197970955490207877822109492103
-147.5,1,4,"[-161.000000, -170.000000, -147.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",28,1.3.6.1.4.1.14519.5.2.1.1706.8374.235965794383585045783278181188
-150.0,1,4,"[-161.000000, -170.000000, -150.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",29,1.3.6.1.4.1.14519.5.2.1.1706.8374.286564574319907801553151014316
-115.0,1,4,"[-161.000000, -170.000000, -115.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",15,1.3.6.1.4.1.14519.5.2.1.1706.8374.240683530914036806233382190186
-80.0,1,4,"[-161.000000, -170.000000, -80.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",1,1.3.6.1.4.1.14519.5.2.1.1706.8374.270759939379133941464663012432
-120.0,1,4,"[-161.000000, -170.000000, -120.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",17,1.3.6.1.4.1.14519.5.2.1.1706.8374.207968249171953547047227721592
-85.0,1,4,"[-161.000000, -170.000000, -85.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",3,1.3.6.1.4.1.14519.5.2.1.1706.8374.318818252701327900322822748329
-82.5,1,4,"[-161.000000, -170.000000, -82.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",2,1.3.6.1.4.1.14519.5.2.1.1706.8374.719754743192651133000294236822
-117.5,1,4,"[-161.000000, -170.000000, -117.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",16,1.3.6.1.4.1.14519.5.2.1.1706.8374.834009416770034601649508812800
-107.5,1,4,"[-161.000000, -170.000000, -107.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",12,1.3.6.1.4.1.14519.5.2.1.1706.8374.118702450892253003854614311373
-92.5,1,4,"[-161.000000, -170.000000, -92.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",6,1.3.6.1.4.1.14519.5.2.1.1706.8374.519095936364173845287443117331
-95.0,1,4,"[-161.000000, -170.000000, -95.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",7,1.3.6.1.4.1.14519.5.2.1.1706.8374.240998181364773893772490475628
-110.0,1,4,"[-161.000000, -170.000000, -110.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",13,1.3.6.1.4.1.14519.5.2.1.1706.8374.133505296364233268029796411718
-175.0,1,4,"[-161.000000, -170.000000, -175.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",39,1.3.6.1.4.1.14519.5.2.1.1706.8374.280040257580784505950315869363
-90.0,1,4,"[-161.000000, -170.000000, -90.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",5,1.3.6.1.4.1.14519.5.2.1.1706.8374.194267796821281709933580315377
-105.0,1,4,"[-161.000000, -170.000000, -105.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",11,1.3.6.1.4.1.14519.5.2.1.1706.8374.185981584301519708744227203482
-102.5,1,4,"[-161.000000, -170.000000, -102.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",10,1.3.6.1.4.1.14519.5.2.1.1706.8374.113340061925762444516462147511
-87.5,1,4,"[-161.000000, -170.000000, -87.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",4,1.3.6.1.4.1.14519.5.2.1.1706.8374.257768020547553340175539304892
-172.5,1,4,"[-161.000000, -170.000000, -172.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",38,1.3.6.1.4.1.14519.5.2.1.1706.8374.265135551861378786582023039359
-227.5,1,4,"[-161.000000, -170.000000, -227.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",60,1.3.6.1.4.1.14519.5.2.1.1706.8374.301845127978287784840958209746
-197.5,1,4,"[-161.000000, -170.000000, -197.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",48,1.3.6.1.4.1.14519.5.2.1.1706.8374.175909263890357159119467208694
-200.0,1,4,"[-161.000000, -170.000000, -200.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",49,1.3.6.1.4.1.14519.5.2.1.1706.8374.633278973473584519151557330449
-230.0,1,4,"[-161.000000, -170.000000, -230.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",61,1.3.6.1.4.1.14519.5.2.1.1706.8374.127895090888904708449444864894
-225.0,1,4,"[-161.000000, -170.000000, -225.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",59,1.3.6.1.4.1.14519.5.2.1.1706.8374.172790707657138453241791327436
-222.5,1,4,"[-161.000000, -170.000000, -222.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",58,1.3.6.1.4.1.14519.5.2.1.1706.8374.296272083659937438956003548438
